arxiv_id	section_index	sentence_index	section_header	target_sentence	label
1706.03762	0	0	Introduction	Recurrent neural networks, long short-term memory [hochreiter1997] and gated recurrent [gruEval14] neural networks in particular, have been firmly established as state of the art approaches in sequence modeling and transduction problems such as language modeling and machine translation [sutskever14, bahdanau2014neural, cho2014learning].	2
1706.03762	0	1	Introduction	Numerous efforts have since continued to push the boundaries of recurrent language models and encoder-decoder architectures [wu2016google, luong2015effective, jozefowicz2016exploring].	1
2404.05864	0	0	Introduction	Local correction refers to the notion of correcting a single bit of a received codeword by querying very few other bits of the codeword at random.	1
2608.06703v1	0	0	Introduction	The Quantum Fourier Transform ( QFT_q ) requires Theta(log n) depth using only local gates [qncqftlb].	1
2608.06703v1	0	1	Introduction	In 2002, Høyer and Špalek showed that QFT_q can be performed in O(1) depth if this gateset is extended to include FANOUT [hoyer2005fanout].	1
2608.06703v1	0	2	Introduction	However, it is yet unknown if QFT_q is implementable by potentially weaker nonlocal interactions.	1
2608.06703v1	0	3	Introduction	In particular, whether QFT_q in QACZ is open.	1
2608.06703v1	0	4	Introduction	We show this question is equivalent to Moore's question of whether FANOUT_n in QACZ [moore1999qac0].	3
2608.06703v1	0	5	Introduction	"This affirmatively resolves the open question posed by Fang, Fenner, Green, Homer and Zhang in 2006: ""Is fanout really necessary to do the quantum Fourier transform in constant depth? "" [fang2006qlb]."	1
2608.06703v1	0	6	Introduction	For additional context on QACZ and QACZF, we refer the reader to [green2002acc, rosenthal2021qac0, grier2026tc0] and [gretta2026paritynotinqac0iff]. [QFT implies Fanout] For any q in N and n = lceil log_2 q rceil, if there exists a QACZ circuit C approximating QFT_q to a non-negligible fidelity delta, then FANOUT_n in QACZ.	2
2608.06703v1	0	7	Introduction	The direction QFT_q in QACZ Leftarrow FANOUT_n in QACZ is already known.	1
2608.06703v1	0	8	Introduction	Although [hoyer2005fanout] 's QNC_f circuit is approximate as stated, it can easily be made exact in QACZ_f using controlled-preparations and n -qubit comparators (similar to [lem:approx] ).	3
2608.06703v1	0	9	Introduction	Thus, QFT_q in QACZ iff FANOUT_n in QACZ.	1
2608.06703v1	0	10	Introduction	Proof Overview.	1
2608.06703v1	0	11	Introduction	"The key is to construct a non-negligible ""felinity"" state using C, which by [gretta2026paritynotinqac0iff] implies exact FANOUT_n."	5
2608.06703v1	0	12	Introduction	The proof starts with a n+1 -qubit product state whose QFT_q ( 2^n leq q < 2^(n+1) ) has constant amplitude on two adjacent frequencies with complementary binary representations.	3
2608.06703v1	0	13	Introduction	For instance, the frequencies 2^(n)-1 and 2^(n) have binary representations 01dots 1 and 10dots 0 respectively.	1
2608.06703v1	0	14	Introduction	Thus, the QFT_q of such a state has constant felinity.	1
2608.06703v1	0	15	Introduction	To use C in place of QFT_q, we first mark the aforementioned branches to isolate them, allowing a Omega(delta^2) bound for the felinity.	3
2608.06703v1	0	16	Introduction	Shor's algorithm [Shor_1997] specifically uses a power-of-two modulus, i. e., a QFT^(dag)_(2^n) gate.	1
2608.06703v1	0	17	Introduction	Although the above reduction applies, it is technically under QACZ, not QNC^0.	1
2608.06703v1	0	18	Introduction	For this case, we describe a circuit for approximating FANOUT_n to arbitrary (depth-dependent) precision using only a QFT^(dagger)_(2^n), two-qubit controlled-phase gates and no extra ancillae ( [lem:localfanshor] ).	4
2608.06703v1	0	19	Introduction	This ties the realization of Shor's algorithm in the NISQ era (e. g. [skosana2021demonstration] ) to that of FANOUT	2
